iter	Logloss
0	0.6867737502
1	0.6803156821
2	0.6744277611
3	0.6687170307
4	0.6653891574
5	0.6600832564
6	0.6545341577
7	0.6510863572
8	0.6451919213
9	0.6396517379
10	0.6352894815
11	0.6313567858
12	0.6272851322
13	0.6226045844
14	0.617977871
15	0.6127072881
16	0.6079932224
17	0.6037104746
18	0.600911344
19	0.5962026789
20	0.5921149093
21	0.5878268896
22	0.5845567939
23	0.5805568052
24	0.5770231954
25	0.5731515777
26	0.5690292616
27	0.5652853719
28	0.561971343
29	0.5584885672
30	0.5566402392
31	0.5544888786
32	0.551126973
33	0.5476540983
34	0.5443360404
35	0.540898098
36	0.5380233165
37	0.5364433031
38	0.5347817239
39	0.5321153791
40	0.5289743831
41	0.5261431919
42	0.523233478
43	0.5203752411
44	0.5179493508
45	0.5154344794
46	0.5129916588
47	0.5110791667
48	0.5086083573
49	0.5071077668
50	0.504503143
51	0.5031381243
52	0.5008867242
53	0.4983393208
54	0.4957568994
55	0.4947030142
56	0.4925716272
57	0.4907145125
58	0.4882725062
59	0.4865920678
60	0.4842320989
61	0.4818625289
62	0.4800715929
63	0.4780414453
64	0.4767309467
65	0.4751538052
66	0.4736770458
67	0.471463107
68	0.4697566943
69	0.4689842824
70	0.4670959644
71	0.465542654
72	0.463711685
73	0.4618812304
74	0.4611215056
75	0.459622501
76	0.458240209
77	0.4567604922
78	0.4550644092
79	0.4544231972
80	0.4532383265
81	0.4515605026
82	0.4498737635
83	0.4483555997
84	0.4467409541
85	0.4452339344
86	0.4442837319
87	0.443764333
88	0.4424268744
89	0.4414413966
90	0.4404524042
91	0.439031751
92	0.4380429729
93	0.4367082574
94	0.4353556687
95	0.4342433629
96	0.4330304607
97	0.4322280884
98	0.4312129074
99	0.4301738096
100	0.4289703369
101	0.4280331215
102	0.4276551236
103	0.4264618091
104	0.425813182
105	0.4246172101
106	0.423700997
107	0.42300055
108	0.421856398
109	0.4208612335
110	0.4199497351
111	0.4189712867
112	0.4181146086
113	0.4176112829
114	0.4164799894
115	0.4159665054
116	0.4150587789
117	0.4141279928
118	0.4132115225
119	0.4128895877
120	0.4118521615
121	0.4111691164
122	0.4105331764
123	0.4099638864
124	0.4088739974
125	0.4083839159
126	0.4081576915
127	0.4073398462
128	0.4065958087
129	0.4059035912
130	0.4054819171
131	0.4046560566
132	0.4040580492
133	0.4036323462
134	0.4028313026
135	0.4023793681
136	0.4017877043
137	0.4011891826
138	0.4005936612
139	0.399653274
140	0.3990264207
141	0.3987325604
142	0.3983027426
143	0.3978328491
144	0.3974038456
145	0.3967396168
146	0.3960780883
147	0.3954774664
148	0.3947523739
149	0.3940601992
150	0.393923213
151	0.3932685852
152	0.3930517475
153	0.3929031029
154	0.3924259657
155	0.3918035271
156	0.3916365806
157	0.3914770062
158	0.3907351976
159	0.3903548851
160	0.3898664324
161	0.3893835518
162	0.3891000212
163	0.3886687032
164	0.3882820044
165	0.3880195189
166	0.3873886794
167	0.3867753275
168	0.3862884179
169	0.3858004366
170	0.3853378296
171	0.3850337254
172	0.3847136337
173	0.3841273276
174	0.3836767218
175	0.383363188
176	0.3829121965
177	0.3826641983
178	0.3822499393
179	0.3817625153
180	0.3812283291
181	0.3807981684
182	0.3804514167
183	0.3800561455
184	0.3799506627
185	0.3795569345
186	0.3789606844
187	0.3786792969
188	0.3782673525
189	0.3778683523
190	0.377425976
191	0.377201166
192	0.376852057
193	0.3763870925
194	0.3762465059
195	0.376056714
196	0.3756728012
197	0.375398743
198	0.3749452227
199	0.3747425294
200	0.37453615
201	0.3739260127
202	0.3734493041
203	0.3730494467
204	0.37285464
205	0.3724596259
206	0.3720215358
207	0.3717956543
208	0.3712320221
209	0.3708625536
210	0.3706651323
211	0.3703584135
212	0.3699912596
213	0.3697082005
214	0.3695530409
215	0.3694892626
216	0.3692273344
217	0.3689264876
218	0.3684794822
219	0.3680131891
220	0.3677014554
221	0.3673681195
222	0.3671803421
223	0.3669856211
224	0.3667240786
225	0.3665047978
226	0.3662677722
227	0.3660571923
228	0.3656768799
229	0.3654250241
230	0.3650844445
231	0.3647267202
232	0.3644044855
233	0.3640903944
234	0.3639836686
235	0.3639381066
236	0.3636328879
237	0.3633935478
238	0.363098916
239	0.3629450852
240	0.3626654121
241	0.3626368662
242	0.3623152315
243	0.3619393338
244	0.3616697333
245	0.3613825594
246	0.3610568529
247	0.3607026861
248	0.3604252847
249	0.3603195876
250	0.3600171979
251	0.3598604952
252	0.3596167832
253	0.359523216
254	0.3594892266
255	0.359227084
256	0.3589042278
257	0.3587779999
258	0.3585967589
259	0.3584061098
260	0.3582087313
261	0.3581022841
262	0.3578078452
263	0.3574720233
264	0.3572517995
265	0.3569466666
266	0.3567879066
267	0.3564195097
268	0.3562948891
269	0.3559951139
270	0.3557140693
271	0.3553798976
272	0.355358981
273	0.3550234591
274	0.3546678779
275	0.3544557121
276	0.3544097
277	0.3542325095
278	0.3539907263
279	0.3538963875
280	0.3536620837
281	0.3534436172
282	0.3533090741
283	0.3530265722
284	0.3528382376
285	0.3525893608
286	0.3522729338
287	0.3520889925
288	0.3518986434
289	0.3516590676
290	0.3513581351
291	0.3512626391
292	0.3510661179
293	0.3508827981
294	0.3505152799
295	0.3503620705
296	0.3502144117
297	0.350109979
298	0.3497746071
299	0.3496052603
300	0.3492867973
301	0.3489823288
302	0.3488695166
303	0.3486832822
304	0.3485136996
305	0.3483038913
306	0.3482432419
307	0.3480659228
308	0.3478594148
309	0.3476403911
310	0.3474231677
311	0.3471364011
312	0.3469315861
313	0.3467530454
314	0.3466011433
315	0.3465661895
316	0.3463350575
317	0.3463046042
318	0.3461770261
319	0.345936443
320	0.3458419328
321	0.3456298957
322	0.3453489154
323	0.3451753038
324	0.3448842081
325	0.3446771429
326	0.3445181686
327	0.3443345273
328	0.3440489608
329	0.3439014306
330	0.3435751669
331	0.3434227075
332	0.3432139707
333	0.3430846997
334	0.3429254682
335	0.342763965
336	0.3424702334
337	0.3422626967
338	0.3420876492
339	0.3419439766
340	0.3418385366
341	0.3417394402
342	0.3415851379
343	0.3414204201
344	0.3413007072
345	0.3411023644
346	0.3408532303
347	0.340575979
348	0.3405050642
349	0.3401782647
350	0.3400484149
351	0.3399003704
352	0.3398063531
353	0.3396651879
354	0.3394878473
355	0.3391977374
356	0.3390647374
