iter	Passed	Remaining
0	2	2458
1	4	2480
2	8	2835
3	11	2845
4	12	2506
5	14	2460
6	17	2448
7	18	2309
8	21	2333
9	24	2455
10	26	2391
11	28	2325
12	29	2230
13	32	2302
14	35	2298
15	37	2288
16	39	2290
17	41	2269
18	43	2271
19	46	2286
20	49	2290
21	51	2284
22	52	2227
23	54	2208
24	55	2164
25	56	2135
26	60	2181
27	63	2220
28	66	2225
29	68	2212
30	69	2168
31	70	2129
32	72	2119
33	74	2118
34	76	2104
35	78	2113
36	81	2125
37	82	2097
38	84	2070
39	86	2076
40	88	2064
41	90	2055
42	91	2045
43	93	2040
44	96	2043
45	98	2051
46	101	2063
47	102	2040
48	104	2033
49	105	2011
50	107	2003
51	108	1981
52	110	1976
53	112	1967
54	114	1971
55	115	1955
56	118	1967
57	121	1972
58	123	1969
59	124	1955
60	126	1948
61	128	1947
62	130	1939
63	132	1933
64	134	1932
65	136	1936
66	139	1937
67	141	1935
68	143	1942
69	144	1924
70	146	1920
71	148	1914
72	150	1910
73	152	1910
74	154	1905
75	157	1918
76	160	1921
77	162	1919
78	164	1918
79	165	1907
80	167	1902
81	169	1902
82	173	1915
83	176	1926
84	178	1926
85	180	1923
86	183	1923
87	184	1910
88	186	1909
89	188	1907
90	192	1921
91	195	1927
92	197	1930
93	200	1932
94	202	1928
95	204	1925
96	206	1922
97	208	1915
98	210	1912
99	213	1924
100	217	1931
101	219	1933
102	220	1919
103	222	1915
104	223	1907
105	225	1903
106	228	1906
107	231	1914
108	234	1916
109	236	1914
110	238	1909
111	241	1915
112	243	1911
113	244	1902
114	247	1906
115	249	1904
116	252	1903
117	254	1901
118	256	1898
119	257	1888
120	259	1883
121	261	1881
122	263	1876
123	265	1875
124	267	1875
125	269	1868
126	270	1858
127	272	1854
128	274	1850
129	275	1846
130	277	1838
131	278	1834
132	281	1833
133	283	1829
134	285	1831
135	288	1830
136	290	1827
137	291	1823
138	293	1820
139	297	1826
140	299	1825
141	301	1818
142	302	1813
143	305	1814
144	308	1816
145	310	1815
146	312	1811
147	313	1806
148	315	1801
149	317	1798
150	318	1790
151	320	1787
152	321	1781
153	324	1783
154	327	1786
155	329	1783
156	330	1776
157	332	1770
158	334	1768
159	335	1763
160	338	1765
161	341	1768
162	344	1770
163	346	1768
164	349	1766
165	351	1764
166	353	1763
167	356	1764
168	359	1765
169	361	1764
170	364	1766
171	366	1764
172	368	1760
173	370	1757
174	372	1754
175	374	1751
176	375	1748
177	378	1746
178	381	1750
179	383	1748
180	385	1744
181	387	1743
182	389	1740
183	391	1737
184	393	1732
185	395	1732
186	398	1732
187	401	1734
188	404	1734
189	406	1731
190	408	1729
191	409	1723
192	411	1719
193	413	1716
194	414	1712
195	416	1707
196	419	1709
197	421	1708
198	423	1705
199	425	1702
200	427	1699
201	429	1696
202	431	1693
203	433	1690
204	435	1690
205	438	1689
206	440	1686
207	441	1682
208	443	1679
209	445	1675
210	446	1670
211	448	1667
212	450	1664
213	452	1661
214	455	1663
215	457	1660
216	459	1657
217	461	1654
218	463	1651
219	465	1650
220	467	1646
221	469	1644
222	471	1642
223	473	1640
224	475	1638
225	478	1637
226	480	1634
227	481	1631
228	483	1629
229	485	1625
230	487	1623
231	489	1620
232	492	1619
233	494	1618
234	495	1614
235	497	1609
236	499	1609
237	501	1606
238	503	1603
239	505	1601
240	507	1598
241	508	1592
242	510	1591
243	513	1591
244	516	1590
245	518	1587
246	520	1586
247	522	1583
248	523	1580
249	525	1576
250	527	1572
251	529	1571
252	532	1571
253	535	1571
254	536	1567
255	538	1564
256	539	1560
257	541	1557
258	543	1553
259	544	1550
260	546	1547
261	548	1544
262	551	1545
263	553	1544
264	556	1542
265	557	1539
266	559	1537
267	561	1534
268	564	1534
269	567	1533
270	570	1535
271	573	1534
272	574	1529
273	576	1528
274	579	1526
275	581	1524
276	582	1519
277	584	1516
278	586	1515
279	589	1515
280	593	1517
281	595	1515
282	597	1513
283	598	1510
284	600	1507
285	603	1505
286	606	1505
287	608	1505
288	610	1503
289	612	1499
290	614	1496
291	616	1493
292	618	1491
293	619	1488
294	621	1485
295	624	1484
296	626	1482
297	628	1481
298	630	1478
299	632	1476
300	635	1474
301	637	1472
302	639	1470
303	640	1466
304	642	1463
305	644	1461
306	645	1457
307	647	1455
308	650	1454
309	652	1452
310	654	1450
311	656	1448
312	658	1445
313	660	1442
314	662	1441
315	663	1437
316	665	1434
317	667	1430
318	670	1431
319	673	1430
320	675	1428
321	677	1426
322	679	1423
323	681	1421
324	683	1418
325	685	1417
326	687	1415
327	690	1414
328	693	1413
329	695	1412
330	697	1409
331	699	1407
332	701	1405
333	703	1402
334	706	1402
335	709	1401
336	711	1399
337	713	1396
338	715	1394
339	717	1392
340	719	1391
341	721	1388
342	723	1386
343	726	1385
344	729	1384
345	731	1382
346	733	1380
347	736	1379
348	738	1378
349	740	1376
350	743	1374
351	745	1373
352	749	1373
353	751	1371
354	753	1368
355	755	1366
356	757	1364
357	758	1359
358	760	1357
359	763	1357
360	765	1354
361	767	1353
362	769	1350
363	770	1346
364	772	1343
365	774	1340
366	776	1339
367	777	1336
368	780	1333
369	782	1332
370	785	1332
371	788	1330
372	791	1329
373	793	1327
374	795	1325
375	796	1321
376	798	1319
377	800	1317
378	804	1317
379	805	1314
380	807	1311
381	809	1309
382	811	1306
383	813	1304
384	815	1301
385	817	1300
386	820	1299
387	822	1297
388	824	1295
389	826	1292
390	828	1290
391	830	1287
392	832	1285
393	833	1282
394	835	1279
395	837	1277
396	840	1275
397	842	1274
398	844	1271
399	846	1269
400	847	1266
401	849	1263
402	851	1261
403	853	1258
404	855	1256
405	857	1254
406	860	1254
407	863	1252
408	864	1249
409	866	1246
410	868	1243
411	870	1241
412	871	1239
413	873	1236
414	876	1235
415	879	1234
416	882	1233
417	884	1231
418	886	1228
419	888	1226
420	890	1224
421	891	1221
422	893	1218
423	895	1216
424	898	1216
425	900	1213
426	902	1211
427	906	1210
428	908	1208
429	910	1206
430	911	1203
431	914	1202
432	916	1199
433	919	1198
434	921	1196
435	923	1194
436	925	1192
437	927	1190
438	929	1187
439	931	1185
440	933	1183
441	936	1181
442	939	1180
443	940	1177
444	942	1175
445	943	1172
446	945	1170
447	947	1167
448	949	1165
449	950	1162
450	953	1160
451	956	1159
452	958	1156
453	960	1155
454	962	1152
455	964	1150
456	966	1147
457	967	1145
458	969	1143
459	972	1141
460	975	1140
461	978	1139
462	980	1136
463	981	1133
464	982	1130
465	984	1127
466	985	1124
467	987	1123
468	990	1121
469	992	1119
470	994	1117
471	996	1114
472	998	1112
473	1000	1110
474	1002	1107
475	1004	1105
476	1006	1103
477	1007	1100
478	1010	1099
479	1013	1097
480	1015	1096
481	1018	1094
482	1020	1092
483	1022	1089
484	1024	1087
485	1026	1085
486	1029	1084
487	1031	1082
488	1033	1080
489	1035	1077
490	1037	1075
491	1039	1073
492	1041	1070
493	1043	1068
494	1044	1065
495	1047	1064
496	1050	1062
497	1052	1061
498	1054	1058
499	1056	1056
500	1058	1054
501	1060	1052
502	1062	1049
503	1063	1046
504	1066	1044
505	1068	1043
506	1071	1041
507	1073	1039
508	1075	1037
509	1077	1034
510	1079	1032
511	1080	1030
512	1082	1027
513	1085	1026
514	1088	1025
515	1090	1023
516	1092	1020
517	1095	1019
518	1096	1016
519	1099	1014
520	1102	1013
521	1105	1011
522	1107	1010
523	1109	1008
524	1112	1006
525	1114	1004
526	1116	1002
527	1119	1000
528	1120	997
529	1123	996
530	1126	995
531	1129	993
